book_chapter,chapter_directory,script_stem,method_theme,processed_files,analysis_sample,analysis_result,data_type
2,Chapter02_Covariation_in_data,chapter02,数据中的共同变动,nbs_70city_house_price_2025.csv,国家统计局2025年70城住宅销售价格指数；原表1680行＝70城×12月×两类住宅，合并后840个城市—月份观测。,Chapter02_Covariation_in_data/results/chapter02_70city_wide_analysis_data.csv,observed
3,Chapter03_Basic_probability_theory_and_statistical_inference_ch_probability_theory,chapter03,基本概率与统计推断,,本章使用脚本生成的掷骰及覆盖率模拟，不读取真实经济数据。,Chapter03_Basic_probability_theory_and_statistical_inference_ch_probability_theory/results/chapter03_monte_carlo_summary.csv,simulated_in_script
4,Chapter04_Correlation_and_inference_about_a_population_ch_population_korrelation,chapter04,总体相关与推断,chapter04_wdi_life_gdp_2024_economies.csv,世界银行WDI本地历史快照：2024年192个经济体，各经济体等权。,Chapter04_Correlation_and_inference_about_a_population_ch_population_korrelation/results/chapter04_wdi_life_gdp_analysis_data.csv,observed
5,Chapter05_The_simple_linear_regression_model,chapter05,简单线性回归,nbs_70city_house_price_2025.csv,国家统计局2025年70城、12个月，最终840个城市—月份观测。,Chapter05_The_simple_linear_regression_model/results/chapter05_70city_regression_data.csv,observed
6,Chapter06_Multiple_Linear_Regression,chapter06,多元线性回归,bea_us_state_gdp_income_panel_1997_2025.csv;bls_state_unemployment_cpi_monthly_2015_2025.csv,美国BEA州GDP与收入、BLS州失业率合并；最新完整共同年份为2024年，51个州级单位（50州及哥伦比亚特区）。,Chapter06_Multiple_Linear_Regression/results/chapter06_bea_bls_state_analysis_data.csv,observed
7,Chapter07_Nonlinear_functional_form,chapter07,非线性函数形式,wdi_global_selected_indicators_wide.csv;owid_global_annual_co2.csv,WDI与OWID按经济体代码、年份合并；2024年收入、人口、排放和贸易比率共同可用，最终157个经济体。,Chapter07_Nonlinear_functional_form/results/chapter07_wdi_owid_income_co2_analysis_data.csv,observed
8,Chapter08_Regression_analysis_with_dependent_error_terms_ch_reg_dep_error,chapter08,误差相关：聚类与面板,acs_pums_california_persons_2023_selected.csv;bea_us_state_gdp_income_panel_1997_2025.csv;bls_state_unemployment_cpi_monthly_2015_2025.csv,ACS加州2023年原表392318人；按年龄25–64岁、收入非负及所需字段完整筛选后203337人、113780个serialno分组。另有51个州级单位×2015–2024年，共510个州—年观测。,Chapter08_Regression_analysis_with_dependent_error_terms_ch_reg_dep_error/results/chapter08_acs_cluster_analysis_data.csv,observed
9,Chapter09_Binary_dependent_variable_ch_logit,chapter09,二元因变量,acs_pums_california_persons_2023_selected.csv;uci_credit_default_clients.csv,两个案例：ACS加州2023年203337名25–64岁、收入非负且所需字段完整的人员；UCI信用卡违约30000条客户记录。,Chapter09_Binary_dependent_variable_ch_logit/results/chapter09_acs_high_income_analysis_data.csv,observed
10,Chapter10_Prediction_ch_prediction,chapter10,预测与模型比较,nbs_70city_house_price_2025.csv,国家统计局2025年70城住宅销售价格指数。分析表840行；1–9月训练630行，10–12月测试210行。,Chapter10_Prediction_ch_prediction/results/chapter10_nbs_70city_prediction_data.csv,observed
11,Chapter13_Nonparametric_Regression_chapter_nonparametric,chapter13,非参数回归,wdi_global_selected_indicators_wide.csv;owid_global_annual_co2.csv,WDI与OWID按经济体代码、年份合并；2024年收入、人口、排放完整且为正的189个经济体，各经济体等权。,Chapter13_Nonparametric_Regression_chapter_nonparametric/results/chapter13_nonparametric_analysis_data.csv,observed
12,Chapter11_Time_series_analysis,chapter11,时间序列,wdi_china_macro_1960_2024.csv,中国年度GDP本地历史快照：原表1960–2024年65行；主案例1978–2024年47个水平值，46个对数增长率，AR(1)有效样本45个。,Chapter11_Time_series_analysis/results/chapter11_china_gdp_time_series_data.csv,observed
13,Chapter12_Causal_analyses_ch_causality,chapter12,因果分析,nhtsa_fars_rd_age18_24_2018_2023.csv;chapter13_did_simulated.csv;chapter13_iv_simulated.csv;chapter13_event_common_timing_simulated.csv;chapter13_scm_cities_simulated.csv;chapter13_rd_continuous_simulated.csv;chapter13_mediation_simulated.csv,真实数据为美国FARS2018–2023年18–24岁记录82615行；只保留drinking=0或1后39935行、35715起事故。其余DiD、IV、事件研究、合成控制、连续RD和中介例子均明确模拟。,Chapter12_Causal_analyses_ch_causality/results/chapter12_fars_rd_analysis_data.csv,observed_and_simulated
